Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
19-03-2019,AXISBANK,EQ,751.6,755,763,749.05,761.2,760.9,755,8818172,6.65769E+14,137174,2761653,0.3132
20-03-2019,AXISBANK,EQ,760.9,760.75,767,754.35,754.5,755.75,760.04,9758274,7.41665E+14,129227,4690728,0.4807
22-03-2019,AXISBANK,EQ,755.75,764.7,765.9,735.55,760.5,757.05,761.25,10355078,7.88282E+14,157763,3424843,0.3307
25-03-2019,AXISBANK,EQ,757.05,752.7,755,741.15,745.35,745.7,746.5,7130411,5.32286E+14,132196,4197763,0.5887
26-03-2019,AXISBANK,EQ,745.7,747.4,760.95,741.65,760.7,757.1,748.08,7300104,5.46103E+14,91613,3490791,0.4782
27-03-2019,AXISBANK,EQ,757.1,761.3,770,755.85,760.5,759.3,763.68,7456768,5.69456E+14,126211,2153100,0.2887
28-03-2019,AXISBANK,EQ,759.3,761.1,787.65,757.15,775.8,780.7,775.22,16643818,1.29027E+15,175012,10598619,0.6368
29-03-2019,AXISBANK,EQ,780.7,777,781.35,767.6,775.2,777.25,774.91,9661906,7.48712E+14,139573,5328520,0.5515
01-04-2019,AXISBANK,EQ,777.25,780.95,783,760.6,762.5,765.6,773.8,6021202,4.65918E+14,133059,2504426,0.4159
02-04-2019,AXISBANK,EQ,765.6,769.15,774.95,761,769.6,767.4,767.54,6592678,5.06013E+14,134601,2621860,0.3977
03-04-2019,AXISBANK,EQ,767.4,770,772.75,758.7,761.2,761.5,765.37,5591613,4.27968E+14,88359,2352445,0.4207
04-04-2019,AXISBANK,EQ,761.5,763,771.9,760,762.1,762.15,765.19,7009879,5.36391E+14,176090,3084385,0.44
05-04-2019,AXISBANK,EQ,762.15,763.95,768.75,756.1,764,762.2,762.23,5343947,4.07332E+14,124812,1913964,0.3582
08-04-2019,AXISBANK,EQ,762.2,764.3,768,748.55,755,754.6,755.77,4918795,3.71749E+14,109471,1820994,0.3702
09-04-2019,AXISBANK,EQ,754.6,755,766,751,765.55,763.4,756.66,5483424,4.14909E+14,151206,2689006,0.4904
10-04-2019,AXISBANK,EQ,763.4,761.25,767.9,758,760.5,760.85,762.81,5933250,4.52594E+14,97354,2897970,0.4884
11-04-2019,AXISBANK,EQ,760.85,760.5,761.35,747,751.25,752.3,753.92,5365803,4.04536E+14,118983,2320339,0.4324
12-04-2019,AXISBANK,EQ,752.3,753.4,766.75,751.6,762.2,764.35,759.61,4671869,3.54878E+14,87209,1500857,0.3213
15-04-2019,AXISBANK,EQ,764.35,764,770.2,760,763.2,762.85,765.61,3707106,2.8382E+14,56024,1268229,0.3421
16-04-2019,AXISBANK,EQ,762.85,765.1,776,765.1,775,771.1,771.42,7088601,5.4683E+14,143014,3433223,0.4843
18-04-2019,AXISBANK,EQ,771.1,778.4,779,769,770.05,771.2,773.41,6098041,4.71626E+14,105977,2296796,0.3766
22-04-2019,AXISBANK,EQ,771.2,768.9,768.9,750.55,755.05,755.5,756.86,4185156,3.16758E+14,126082,1531017,0.3658
23-04-2019,AXISBANK,EQ,755.5,757.45,759.3,749,753.1,753.25,754.35,5098170,3.84579E+14,120551,1790023,0.3511
24-04-2019,AXISBANK,EQ,753.25,754.7,755.7,738.35,750.9,752.85,747.73,7825049,5.85099E+14,122901,3424580,0.4376
